when_start,when_end,project,role,funding,where,display,amount_brl,amount_usd
2019,,Human Anatomy Museum at the University of Brasilia - Techniques and Technologies in a University Science Museum,Coordinator/Principal Investigator,Foundation for Research Support of the Federal District (#193.00001228/2019-89),"Faculty of Medicine, University of Brasilia, Brazil",TRUE,33690,8300
2018,,"Human Anatomy Museum: Science, Art and Inclusion in the National Week of Science and Technology",Coordinator/Principal Investigator,Foundation for Research Support of the Federal District (#193.00001627/2018-69),"Faculty of Medicine, University of Brasilia, Brazil",TRUE,45420,12200
