"what","with","where","when","when_start","when_end","why","display"
"Inspiration and Resilience Award","Awardee: Daniel Moreira","The Biochemical Society, UK",2025,NA,NA,NA,TRUE
"Honorable Mention at the 29º Congresso de Iniciação Científica da UnB e 20º Congresso de Iniciação Científica do Distrito Federal","Awardee: Maria Beatriz Nascimento | Supervisor: Daniel Moreira","University of Brasilia, Brazil",2023,NA,NA,"Undergrad Research Project Congress",TRUE
"Best Poster Presentation at the II International Meeting on Innovation in Health","Presenter: Ariane Nogueira | Co-author: Daniel Moreira","II INOVATEC, Brazil",2020,NA,NA,NA,TRUE
"Best PhD Thesis Great Award in Life Sciences","Awardee: Daniel Moreira","University of Brasilia, Brazil",2018,NA,NA,NA,TRUE
"Best PhD Thesis Award in Biological Sciences","Awardee: Daniel Moreira","University of Brasilia, Brazil",2018,NA,NA,NA,TRUE
"Honorable Mention for Poster Presentation at the XXVI Reunião Anual da Federação de Sociedades de Biologia Experimental","Presenter: Daniel Moreira","FeSBE Annual Meeting, Brazil",2011,NA,NA,"Experimental Biology National Meeting",TRUE
"Honorable Mention for Poster Presentation at the at the XVI Congresso de Iniciação Científica da UnB e 7º Congresso de Iniciação Científica do Distrito Federal","Presenter: Daniel Moreira","University of Brasilia, Brazil",2010,NA,NA,"Undergrad Research Project Congress",TRUE
"Best Work in Cell Biology at the XV Congresso de Iniciação Científica da UnB e 6º Congresso de Iniciação Científica do Distrito Federal","Presenter: Daniel Moreira","University of Brasilia, Brazil",2009,NA,NA,"Undergrad Research Project Congress",TRUE
